r_b_km,Bielliptic_Total_Delta_v_km_s,Hohmann_Total_Delta_v_km_s
11830.663999999999,1.564537602604,1.476135753891163
11861.810096419284,1.5642514540006278,1.476135753891163
11892.956192838566,1.5639629764698268,1.476135753891163
11924.102289257851,1.563672197480324,1.476135753891163
11955.248385677134,1.5633791442108018,1.476135753891163
11986.394482096419,1.5630838435532608,1.476135753891163
12017.540578515702,1.5627863221163496,1.476135753891163
12048.686674934987,1.5624866062286458,1.476135753891163
12079.83277135427,1.562184721941895,1.476135753891163
12110.978867773554,1.5618806950342137,1.476135753891163
12142.124964192837,1.5615745510132353,1.476135753891163
12173.271060612122,1.561266315119231,1.476135753891163
12204.417157031405,1.560956012328174,1.476135753891163
12235.56325345069,1.560643667354789,1.476135753891163
12266.709349869972,1.5603293046555224,1.476135753891163
12297.855446289257,1.560012948431516,1.476135753891163
12329.00154270854,1.559694622631521,1.476135753891163
12360.147639127825,1.559374350954764,1.476135753891163
12391.293735547108,1.5590521568538032,1.476135753891163
12422.439831966392,1.5587280635373277,1.476135753891163
12453.585928385675,1.558402093972921,1.476135753891163
12484.73202480496,1.558074270889807,1.476135753891163
12515.878121224243,1.5577446167815339,1.476135753891163
12547.024217643528,1.5574131539086498,1.476135753891163
12578.170314062812,1.5570799043013173,1.476135753891163
12609.316410482095,1.5567448897619354,1.476135753891163
12640.462506901378,1.55640813186767,1.476135753891163
12671.608603320663,1.5560696519730115,1.476135753891163
12702.754699739948,1.5557294712122598,1.476135753891163
12733.90079615923,1.5553876105019944,1.476135753891163
12765.046892578515,1.5550440905435066,1.476135753891163
12796.192988997798,1.554698931825211,1.476135753891163
12827.339085417083,1.5543521546250139,1.476135753891163
12858.485181836366,1.5540037790126595,1.476135753891163
12889.63127825565,1.5536538248520477,1.476135753891163
12920.777374674934,1.5533023118035159,1.476135753891163
12951.923471094218,1.5529492593261045,1.476135753891163
12983.069567513501,1.5525946866797717,1.476135753891163
13014.215663932786,1.552238612927611,1.476135753891163
13045.361760352069,1.5518810569380186,1.476135753891163
13076.507856771354,1.5515220373868361,1.476135753891163
13107.653953190636,1.5511615727594759,1.476135753891163
13138.800049609921,1.5507996813530163,1.476135753891163
13169.946146029204,1.550436381278268,1.476135753891163
13201.092242448489,1.5500716904618113,1.476135753891163
13232.238338867772,1.5497056266480334,1.476135753891163
13263.384435287056,1.5493382074010889,1.476135753891163
13294.53053170634,1.5489694501068962,1.476135753891163
13325.676628125624,1.5485993719750697,1.476135753891163
13356.822724544909,1.5482279900408393,1.476135753891163
13387.968820964192,1.5478553211669546,1.476135753891163
13419.114917383475,1.5474813820455484,1.476135753891163
13450.26101380276,1.5471061891999884,1.476135753891163
13481.407110222044,1.5467297589867188,1.476135753891163
13512.553206641327,1.5463521075970528,1.476135753891163
13543.699303060612,1.5459732510589568,1.476135753891163
13574.845399479895,1.5455932052388226,1.476135753891163
13605.99149589918,1.5452119858432,1.476135753891163
13637.137592318462,1.5448296084205202,1.476135753891163
13668.283688737747,1.5444460883627897,1.476135753891163
13699.42978515703,1.5440614409072824,1.476135753891163
13730.575881576315,1.5436756811381818,1.476135753891163
13761.721977995598,1.5432888239882363,1.476135753891163
13792.868074414882,1.542900884240363,1.476135753891163
13824.014170834165,1.542511876529261,1.476135753891163
13855.16026725345,1.5421218153429725,1.476135753891163
13886.306363672733,1.5417307150244772,1.476135753891163
13917.452460092018,1.5413385897732024,1.476135753891163
13948.5985565113,1.540945453646568,1.476135753891163
13979.744652930585,1.5405513205614811,1.476135753891163
14010.890749349868,1.5401562042958385,1.476135753891163
14042.036845769153,1.5397601184899843,1.476135753891163
14073.182942188436,1.5393630766481712,1.476135753891163
14104.32903860772,1.538965092139997,1.476135753891163
14135.475135027005,1.5385661782018252,1.476135753891163
14166.621231446288,1.5381663479381862,1.476135753891163
14197.767327865571,1.5377656143231553,1.476135753891163
14228.913424284856,1.5373639902017455,1.476135753891163
14260.05952070414,1.5369614882912366,1.476135753891163
14291.205617123424,1.5365581211825354,1.476135753891163
14322.351713542706,1.5361539013414776,1.476135753891163
14353.497809961991,1.5357488411101556,1.476135753891163
14384.643906381276,1.5353429527081985,1.476135753891163
14415.790002800559,1.5349362482340485,1.476135753891163
14446.936099219844,1.5345287396662295,1.476135753891163
14478.082195639126,1.5341204388645924,1.476135753891163
14509.228292058411,1.533711357571545,1.476135753891163
14540.374388477694,1.53330150741328,1.476135753891163
14571.520484896979,1.5328908999009672,1.476135753891163
14602.666581316262,1.5324795464319552,1.476135753891163
14633.812677735546,1.5320674582909426,1.476135753891163
14664.95877415483,1.5316546466511491,1.476135753891163
14696.104870574114,1.531241122575457,1.476135753891163
14727.250966993397,1.5308268970175511,1.476135753891163
14758.397063412682,1.530411980823045,1.476135753891163
14789.543159831965,1.5299963847305964,1.476135753891163
14820.68925625125,1.5295801193729952,1.476135753891163
14851.835352670532,1.529163195278259,1.476135753891163
14882.981449089817,1.5287456228707033,1.476135753891163
14914.127545509102,1.5283274124720014,1.476135753891163
14945.273641928385,1.5279085743022414,1.476135753891163
14976.419738347668,1.5274891184809496,1.476135753891163
15007.565834766952,1.5270690550281376,1.476135753891163
15038.711931186237,1.526648393865293,1.476135753891163
15069.85802760552,1.5262271448164002,1.476135753891163
15101.004124024803,1.5258053176089241,1.476135753891163
15132.150220444088,1.525382921874792,1.476135753891163
15163.296316863372,1.5249599671513607,1.476135753891163
15194.442413282655,1.5245364628823799,1.476135753891163
15225.58850970194,1.5241124184189419,1.476135753891163
15256.734606121223,1.5236878430204062,1.476135753891163
15287.880702540508,1.5232627458553383,1.476135753891163
15319.02679895979,1.5228371360024235,1.476135753891163
15350.172895379075,1.5224110224513678,1.476135753891163
15381.318991798358,1.5219844141038017,1.476135753891163
15412.465088217643,1.5215573197741614,1.476135753891163
15443.611184636926,1.5211297481905657,1.476135753891163
15474.75728105621,1.5207017079956806,1.476135753891163
15505.903377475493,1.5202732077475831,1.476135753891163
15537.049473894778,1.5198442559206047,1.476135753891163
15568.195570314061,1.5194148609061617,1.476135753891163
15599.341666733346,1.5189850310136022,1.476135753891163
15630.487763152629,1.518554774471001,1.476135753891163
15661.633859571913,1.5181240994259984,1.476135753891163
15692.779955991198,1.5176930139465794,1.476135753891163
15723.926052410481,1.517261526021879,1.476135753891163
15755.072148829764,1.5168296435629607,1.476135753891163
15786.218245249049,1.516397374403593,1.476135753891163
15817.364341668334,1.5159647263010232,1.476135753891163
15848.510438087616,1.5155317069367236,1.476135753891163
15879.6565345069,1.5150983239171572,1.476135753891163
15910.802630926184,1.5146645847745077,1.476135753891163
15941.948727345469,1.5142304969674187,1.476135753891163
15973.094823764752,1.513796067881719,1.476135753891163
